// This file is automatically generated by internal/scripts/refresh-assets.ts.
// Do not edit manually. Or do, I'm a comment, not a cop.

// eslint-disable-next-line @typescript-eslint/triple-slash-reference
/// <reference path="./modules.d.ts" />
import { formatAssetUrl } from './utils.js'

import embedIconsCodepenPngUrl from './embed-icons/codepen.png?url'
import embedIconsCodesandboxPngUrl from './embed-icons/codesandbox.png?url'
import embedIconsDesmosPngUrl from './embed-icons/desmos.png?url'
import embedIconsExcalidrawPngUrl from './embed-icons/excalidraw.png?url'
import embedIconsFeltPngUrl from './embed-icons/felt.png?url'
import embedIconsFigmaPngUrl from './embed-icons/figma.png?url'
import embedIconsGithubGistPngUrl from './embed-icons/github_gist.png?url'
import embedIconsGoogleCalendarPngUrl from './embed-icons/google_calendar.png?url'
import embedIconsGoogleMapsPngUrl from './embed-icons/google_maps.png?url'
import embedIconsGoogleSlidesPngUrl from './embed-icons/google_slides.png?url'
import embedIconsObservablePngUrl from './embed-icons/observable.png?url'
import embedIconsReplitPngUrl from './embed-icons/replit.png?url'
import embedIconsScratchPngUrl from './embed-icons/scratch.png?url'
import embedSpotifyPngUrl from './embed-icons/spotify.png?url'
import embedTldrawPngUrl from './embed-icons/tldraw.png?url'
import embedValTownPngUrl from './embed-icons/val_town.png?url'
import embedVimeoPngUrl from './embed-icons/vimeo.png?url'
import embedYoutubePngUrl from './embed-icons/youtube.png?url'

import fontsIBMPlexMonoBoldWoff2Url from './fonts/IBMPlexMono-Bold.woff2?url'
import fontsIBMPlexMonoBoldItalicWoff2Url from './fonts/IBMPlexMono-BoldItalic.woff2?url'
import fontsIBMPlexMonoMediumWoff2Url from './fonts/IBMPlexMono-Medium.woff2?url'
import fontsIBMPlexMonoMediumItalicWoff2Url from './fonts/IBMPlexMono-MediumItalic.woff2?url'
import fontsIBMPlexSansBoldWoff2Url from './fonts/IBMPlexSans-Bold.woff2?url'
import fontsIBMPlexSansBoldItalicWoff2Url from './fonts/IBMPlexSans-BoldItalic.woff2?url'
import fontsIBMPlexSansMediumWoff2Url from './fonts/IBMPlexSans-Medium.woff2?url'
import fontsIBMPlexSansMediumItalicWoff2Url from './fonts/IBMPlexSans-MediumItalic.woff2?url'
import fontsIBMPlexSerifBoldWoff2Url from './fonts/IBMPlexSerif-Bold.woff2?url'
import fontsIBMPlexSerifBoldItalicWoff2Url from './fonts/IBMPlexSerif-BoldItalic.woff2?url'
import fontsIBMPlexSerifMediumWoff2Url from './fonts/IBMPlexSerif-Medium.woff2?url'
import fontsIBMPlexSerifMediumItalicWoff2Url from './fonts/IBMPlexSerif-MediumItalic.woff2?url'
import fontsShantellSansInformalBoldWoff2Url from './fonts/Shantell_Sans-Informal_Bold.woff2?url'
import fontsShantellSansInformalBoldItalicWoff2Url from './fonts/Shantell_Sans-Informal_Bold_Italic.woff2?url'
import fontsShantellSansInformalRegularWoff2Url from './fonts/Shantell_Sans-Informal_Regular.woff2?url'
import fontsShantellSansInformalRegularItalicWoff2Url from './fonts/Shantell_Sans-Informal_Regular_Italic.woff2?url'

import iconsIcon0MergedSvgUrl from './icons/icon/0_merged.svg?url'

import translationsArJsonUrl from './translations/ar.json?url'
import translationsBnJsonUrl from './translations/bn.json?url'
import translationsCaJsonUrl from './translations/ca.json?url'
import translationsCsJsonUrl from './translations/cs.json?url'
import translationsDaJsonUrl from './translations/da.json?url'
import translationsDeJsonUrl from './translations/de.json?url'
import translationsElJsonUrl from './translations/el.json?url'
import translationsEnJsonUrl from './translations/en.json?url'
import translationsEsJsonUrl from './translations/es.json?url'
import translationsFaJsonUrl from './translations/fa.json?url'
import translationsFiJsonUrl from './translations/fi.json?url'
import translationsFrJsonUrl from './translations/fr.json?url'
import translationsGlJsonUrl from './translations/gl.json?url'
import translationsGuInJsonUrl from './translations/gu-in.json?url'
import translationsHeJsonUrl from './translations/he.json?url'
import translationsHiInJsonUrl from './translations/hi-in.json?url'
import translationsHrJsonUrl from './translations/hr.json?url'
import translationsHuJsonUrl from './translations/hu.json?url'
import translationsIdJsonUrl from './translations/id.json?url'
import translationsItJsonUrl from './translations/it.json?url'
import translationsJaJsonUrl from './translations/ja.json?url'
import translationsKmKhJsonUrl from './translations/km-kh.json?url'
import translationsKnJsonUrl from './translations/kn.json?url'
import translationsKoKrJsonUrl from './translations/ko-kr.json?url'
import translationsKuJsonUrl from './translations/ku.json?url'
import translationsLanguagesJsonUrl from './translations/languages.json?url'
import translationsMainJsonUrl from './translations/main.json?url'
import translationsMlJsonUrl from './translations/ml.json?url'
import translationsMrJsonUrl from './translations/mr.json?url'
import translationsMsJsonUrl from './translations/ms.json?url'
import translationsMyJsonUrl from './translations/my.json?url'
import translationsNeJsonUrl from './translations/ne.json?url'
import translationsNlJsonUrl from './translations/nl.json?url'
import translationsNoJsonUrl from './translations/no.json?url'
import translationsPaJsonUrl from './translations/pa.json?url'
import translationsPlJsonUrl from './translations/pl.json?url'
import translationsPtBrJsonUrl from './translations/pt-br.json?url'
import translationsPtPtJsonUrl from './translations/pt-pt.json?url'
import translationsRoJsonUrl from './translations/ro.json?url'
import translationsRuJsonUrl from './translations/ru.json?url'
import translationsSlJsonUrl from './translations/sl.json?url'
import translationsSoJsonUrl from './translations/so.json?url'
import translationsSvJsonUrl from './translations/sv.json?url'
import translationsTaJsonUrl from './translations/ta.json?url'
import translationsTeJsonUrl from './translations/te.json?url'
import translationsThJsonUrl from './translations/th.json?url'
import translationsTlJsonUrl from './translations/tl.json?url'
import translationsTrJsonUrl from './translations/tr.json?url
